Source,RA,Dec,simbad_query_name,simbad_name,tic_id_simbad,startype,simbad_otype,tic_id_mast,teff,gaia_dr3_source_id,plx,gmag,bp_rp,gaia_sep_arcsec
J10555973-7724399,163.99865541666665,-77.41114197222223,2MASS J10555973-7724399,V* SX Cha,TIC 277553960,M1.5+M3,Or*,277553960,,5201378641555926784,5.450145246685662,14.237269,2.4190235,0.027931885183940568
J10581677-7717170,164.56919291666665,-77.28809563888889,2MASS J10581677-7717170,V* SZ Cha,TIC 277671331,K0e,Or*,277671331,4516.0,5201199348142249216,5.257345187746984,11.730309,1.7643089,0.09951863596054289
J10590108-7722407,164.75382791666664,-77.37803183333332,2MASS J10590108-7722407,V* TW Cha,TIC 277671413,K8Ve,Or*,277671413,4377.0,5201196599363180928,5.460943766453318,12.761674,1.8721848,0.09166452930669813
J11075792-7738449,166.9906645833333,-77.64582250000001,2MASS J11075792-7738449,Ass Cha T 1-16,TIC 454291764,K4-7,Or*,454291764,5624.0,5201128880615881472,5.382118443693339,15.427874,2.5703192,0.2039630352931773
J11080148-7742288,167.00575916666662,-77.70793555555557,2MASS J11080148-7742288,V* VW Cha,TIC 454291735,K7+M0,Or*,454291735,,5201126475432043776,5.314667590343527,12.402748,2.2107801,0.04374634512943209
J11081509-7733531,167.06303041666663,-77.56484225,2MASS J11081509-7733531,V* HP Cha,TIC 454291793,K3+G5e,TT*,454291793,5414.0,5201153035509861888,5.338141766643487,10.54174,1.7151508,0.8183107115613371
J11085367-7521359,167.2231058333333,-75.35999597222222,2MASS J11085367-7521359,V* PU Car,TIC 454326202,M1Ve,TT*,454326202,3774.0,5225533537629764736,5.249008922393544,13.821907,2.1095715,0.18986361158036327
J11092379-7623207,167.34852124999998,-76.38912927777778,2MASS J11092379-7623207,V* VZ Cha,TIC 454327430,K7e,Or*,454327430,4059.0,5201353936903777152,5.232157973992056,12.611542,1.7548351,0.10909736321770602
J11094742-7726290,167.44690999999997,-77.44144130555556,2MASS J11094742-7726290,BYB 43,TIC 454328115,M3.25e,Or*,454328115,3116.0,5201160663373986176,5.224071402829044,17.408876,4.1079874,0.06607604651404336
J11095340-7634255,167.47179166666663,-76.57375036111111,2MASS J11095340-7634255,Ass Cha T 1-23,TIC 454327580,G9IIIe,Or*,454327580,4384.0,5201350088612791168,5.192894646587728,14.955142,2.665266,0.2567178127830624
J11095407-7629253,167.47468541666666,-76.4904355,2MASS J11095407-7629253,V* HX Cha,TIC 454327530,M3.5+M7,Or*,454327530,,5201351527423800320,5.009874183977194,15.456446,3.1815033,0.12518912754048261
J11100369-7633291,167.5147845833333,-76.55812538888888,2MASS J11100369-7633291,HJM C  1-4,TIC 454329330,K8e,Or*,454329330,4765.0,5201350157332278784,5.1085072876644215,16.553795,3.4626284,0.124452637370161
J11100469-7635452,167.5189633333333,-76.59591877777777,2MASS J11100469-7635452,V* FN Cha,TIC 454329303,K5Ve,Or*,454329303,10064.0,5201349985533568896,5.179713365301117,13.737523,2.4038897,0.0945814841500154
J11100704-7629376,167.52871666666664,-76.49380488888889,2MASS J11100704-7629376,V* WY Cha,TIC 454329387,K8Ve,Or*,454329387,,5201352253276350720,5.730478658183039,12.792765,2.190486,0.12857617180445674
J11104959-7717517,167.7059758333333,-77.29770297222223,2MASS J11104959-7717517,Ass Cha T 1-27,TIC 454328868,M4Ve,Or*,454328868,3726.0,5201160525934988288,5.3565311701645,14.524019,2.5223875,0.0800357046353561
J11105333-7634319,167.72162041666664,-76.57557811111111,2MASS J11105333-7634319,V* WZ Cha,TIC 454329319,M4Ve,Or*,454329319,3254.0,5201303325008889856,5.175260355347197,14.266667,2.2911978,0.11386674033299397
J11113965-7620152,167.91466041666666,-76.33750766666667,2MASS J11113965-7620152,V* XX Cha,TIC 454363835,M3Ve,Or*,454363835,3503.0,5225374074083637376,5.205982267044315,13.736988,2.3182726,0.1981960314595912
J11114632-7620092,167.94243708333332,-76.33582241666666,2MASS J11114632-7620092,CHX 18N,TIC 454363834,K5IVe,TT*,454363834,4630.0,5225327134382282880,5.218798141415142,11.540468,1.7312527,0.18899102020678057
J11123092-7644241,168.12825041666665,-76.74000111111111,2MASS J11123092-7644241,V* CW Cha,TIC 454364287,,Or*,454364287,3680.0,5201295319189804160,5.148067171964686,14.739796,2.6057253,0.15926003050081383
J11173700-7704381,169.40353125,-77.07726836111111,2MASS J11173700-7704381,Ass Cha T 1-32,TIC 454404691,M0.5e,Or*,454404691,3980.0,5201272195086070144,5.294452699844947,13.042476,1.9945154,0.08090360513281779
