Source,RA,Dec
J16083070-3828268,242.1278245833333,-38.47429094444445
J16124373-3815031,243.18221125,-38.25099633333333
MYLup,240.1853829166666,-41.92540525
Sz111,242.22775916666663,-39.628802388888886
Sz118,242.4526316666666,-39.18816908333333
Sz123A,242.7136570833333,-38.88699183333333
Sz129,239.81852541666663,-41.95300686111111
Sz130,240.12921625,-41.72708952777778
Sz65,234.86559625,-34.771591416666666
Sz66,234.86773,-34.771830888888886
Sz68,236.3034883333333,-34.291989666666666
Sz71,236.68624625,-34.51006955555555
Sz75,237.3003133333333,-35.65155686111111
Sz77,237.94554833333328,-35.945740388888886
Sz90,241.7918683333333,-39.18440175
Sz91,241.79818291666663,-39.06334536111111
Sz95,241.96786708333332,-38.96850422222222
Sz96,242.05253041666663,-39.14277652777778
Sz98,242.09363166666665,-39.0797225
V1094Sco,242.1506425,-39.38416927777778
