Source,RA,Dec,simbad_query_name,simbad_name,tic_id_simbad,startype,simbad_otype,simbad_error,simbad_sep_arcsec,tic_id_mast,tic_id_used_for_teff,teff,gaia_dr3_source_id,plx,gmag,bp_rp,gaia_sep_arcsec,gaia_error
CI_Tau,68.4667666,22.84160722,CI_Tau,V* CI Tau,TIC 61230756,K4IVe,Or*,,,61230756,TIC 61230756,3807.0,145203159127518336,6.237611682425368,12.181539,2.129115,0.03638938333358098,
CW_Tau,63.5709125,28.18255652777778,CW_Tau,V* CW Tau,TIC 56624875,K0Ve,TT*,,,56624875,TIC 56624875,5119.02,163184091252903936,7.601729484808871,12.774684,2.139058,0.18717113346647096,
DE_Tau,65.48189166666666,27.91821205555556,DE_Tau,V* DE Tau,TIC 58467184,M3Ve,Or*,,,58467184,TIC 58467184,3688.0,152511475478780416,7.8111724513932,11.905457,2.2613716,0.20387089987944917,
DG_Tau,66.76959083333333,26.10432986111111,DG_Tau,V* DG Tau,TIC 268017134,K6Ve,TT*,,,268017134,TIC 268017134,3781.0,151262700852297728,7.983639610729644,11.876411,2.0941505,0.15099804102086972,
DL_Tau,68.41288041666667,25.34380286111111,DL_Tau,V* DL Tau,TIC 268444139,K7Ve,Or*,,,268444139,TIC 268444139,4783.0,148010281032823552,6.252545401745203,12.136812,1.895546,0.12511543465718417,
DM_Tau,68.453123,18.169338,DM_Tau,V* DM Tau,TIC 61259576,M2Ve,Or*,,,61259576,TIC 61259576,3897.0,3314282402395528192,6.942133016150431,13.095755,2.0286741,0.07480684885421666,
DR_Tau,71.77592624999998,16.978472944444444,DR_Tau,V* DR Tau,TIC 436614005,K5Ve,Or*,,,436614005,TIC 436614005,4348.0,3406081865148861440,5.182256200225575,11.651405,1.6214895,0.09109352839802766,
DS_Tau,71.95252375,29.419621333333332,DS_Tau,V* DS Tau,TIC 59879081,K4Ve,Or*,,,59879081,TIC 59879081,4026.0,158249306976130176,6.3150082562960925,12.051329,1.7034035,0.17213008696118182,
FN_Tau,63.56087499999999,28.465970388888888,FN_Tau,V* FN Tau,TIC 56625009,M5e,TT*,,,56625009,TIC 56625009,3219.0,164738521519622656,7.6986214017622965,12.787397,2.980672,0.2003910275575234,
FT_Tau,65.91334541666667,24.93715288888889,FT_Tau,V* FT Tau,TIC 58544652,M2.8,Or*,,,58544652,TIC 58544652,3490.0,149623711269425408,7.681217545084896,13.604074,2.5692177,0.1669417619870713,
GI_Tau,68.39196333333332,24.35461302777778,GI_Tau,V* GI Tau,TIC 268444803,K5Ve,Or*,,,268444803,TIC 268444803,3676.0,147790202612482560,7.725770857989555,12.607882,2.365037,0.14013845463923383,
GK_Tau,68.39406666666666,24.35149480555556,GK_Tau,V* GK Tau,TIC 268444804,K7:Ve,Or*,,,268444804,TIC 268444804,3863.0,147790206908395776,7.743296609851705,11.989602,2.1344213,0.15682576737333473,
GM_Aur,73.79579166666666,30.36633777777778,GM_Aur,V* GM Aur,TIC 96533063,K3Ve,Or*,,,96533063,TIC 96533063,4189.0,156907907082740480,6.324801957162403,11.727107,1.6209869,0.17604341057567752,
HO_Tau,68.83427791666666,22.53727333333333,HO_Tau,V* HO Tau,TIC 118519976,M0.5,Or*,,,118519976,TIC 118519976,3946.0,145132927822383616,6.079557226171934,13.982401,2.2772684,0.1273054675758271,
HP_Tau,68.96998791666665,22.90634625,HP_Tau,V* HP Tau,TIC 118521708,K2-5e,Or*,,,118521708,TIC 118521708,3541.0,145213187879627776,5.839485649629841,13.033619,2.5398235,0.11023518855253632,
HQ_Tau,68.94730749999998,22.839242694444444,HQ_Tau,V* HQ Tau,TIC 118521751,K0,Or*,,,118521751,TIC 118521751,,145209618758377856,6.195526287113613,11.52962,2.3655653,0.13329081836172788,
IP_Tau,66.23790083333333,27.19886661111111,IP_Tau,V* IP Tau,TIC 58606534,M0:Ve,Or*,,,58606534,TIC 58606534,3870.0,152226491513195648,7.729192506935455,12.423383,2.0232954,0.20207143219908805,
IQ_Tau,67.46486208333333,26.11232930555556,IQ_Tau,V* IQ Tau,TIC 268219495,M0.5,Or*,,,268219495,TIC 268219495,3956.0,151297958238753664,7.603870880372988,13.193536,2.473854,0.1387694309853515,
LkCa_15,69.824192,22.35084533,LkCa_15,EM* LkCa   15,TIC 118681038,K5:Ve,Or*,,,118681038,TIC 118681038,4194.0,144936836795636864,6.36187568237751,11.5911045,1.6385603,0.07645684661689348,
V836_Tau,75.77751958333333,25.388673444444443,V836_Tau,V* V836 Tau,TIC 349072683,K7/M0Ve,TT*,,,349072683,TIC 349072683,3787.0,3420008412568724736,5.988246790823275,12.642465,2.1104307,0.11000977719241539,
